image_id,file_name,category_id,category_name,location,date_captured,seq_id,frame_num,seq_num_frames,width,height
5858c092-23d2-11e8-a6a3-ec086b02610b,5858c092-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,76,2013-12-11 10:32:23,6f563e6e-5567-11e8-aed5-dca9047ef277,1,1,2048,1494
5858c0f0-23d2-11e8-a6a3-ec086b02610b,5858c0f0-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,94,2013-10-08 07:56:57,70160c42-5567-11e8-87cc-dca9047ef277,1,3,2048,1494
5858c179-23d2-11e8-a6a3-ec086b02610b,5858c179-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,100,2010-08-18 14:10:29,6f1d6061-5567-11e8-a23e-dca9047ef277,2,3,2048,1494
5858c2c7-23d2-11e8-a6a3-ec086b02610b,5858c2c7-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,89,2012-04-04 12:33:55,6f10e7e1-5567-11e8-ab39-dca9047ef277,3,3,2048,1494
585a621a-23d2-11e8-a6a3-ec086b02610b,585a621a-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,81,2011-05-08 10:08:27,6f10aa7a-5567-11e8-a7fb-dca9047ef277,1,3,2048,1494
585a62c4-23d2-11e8-a6a3-ec086b02610b,585a62c4-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,76,2014-06-13 10:24:57,6f602a6e-5567-11e8-9376-dca9047ef277,1,1,2048,1494
585a6482-23d2-11e8-a6a3-ec086b02610b,585a6482-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,100,2011-04-29 13:20:04,6f1ed226-5567-11e8-83f6-dca9047ef277,2,3,2048,1494
585a64f3-23d2-11e8-a6a3-ec086b02610b,585a64f3-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,94,2013-10-08 09:02:09,701614fa-5567-11e8-b2b5-dca9047ef277,2,3,2048,1494
585a6594-23d2-11e8-a6a3-ec086b02610b,585a6594-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,100,2011-04-19 14:10:08,6f1ecaba-5567-11e8-aefc-dca9047ef277,1,3,2048,1494
585c030b-23d2-11e8-a6a3-ec086b02610b,585c030b-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,121,2014-08-17 06:38:37,70184607-5567-11e8-8909-dca9047ef277,1,3,2048,1494
585c0422-23d2-11e8-a6a3-ec086b02610b,585c0422-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,86,2014-03-10 08:05:33,70198e28-5567-11e8-9ff0-dca9047ef277,2,3,2048,1494
585c0699-23d2-11e8-a6a3-ec086b02610b,585c0699-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,86,2014-12-18 09:11:54,7019a14c-5567-11e8-8394-dca9047ef277,3,3,2048,1494
585da891-23d2-11e8-a6a3-ec086b02610b,585da891-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,108,2012-05-30 20:16:49,6f152f6e-5567-11e8-9cb8-dca9047ef277,3,3,2048,1494
585dab90-23d2-11e8-a6a3-ec086b02610b,585dab90-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,123,2015-02-25 06:48:02,701b06ae-5567-11e8-bd03-dca9047ef277,5,5,800,584
585dac04-23d2-11e8-a6a3-ec086b02610b,585dac04-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,81,2011-05-03 08:53:33,6f10a8c0-5567-11e8-85a5-dca9047ef277,1,3,2048,1494
585f4e56-23d2-11e8-a6a3-ec086b02610b,585f4e56-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,118,2013-04-19 13:01:28,700ac097-5567-11e8-bedd-dca9047ef277,1,1,2560,1920
