image_id,file_name,category_id,category_name,location,date_captured,seq_id,frame_num,seq_num_frames,width,height,split
596bda6d-23d2-11e8-a6a3-ec086b02610b,596bda6d-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,0,2011-05-21 05:02:00,700ad611-5567-11e8-b364-dca9047ef277,1,1,2048,1536,train
5987b1fc-23d2-11e8-a6a3-ec086b02610b,5987b1fc-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,0,2012-10-22 16:36:13,700c6b9e-5567-11e8-9e40-dca9047ef277,1,1,2560,1920,train
599fc0fe-23d2-11e8-a6a3-ec086b02610b,599fc0fe-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,0,2013-04-03 09:12:37,700ccd97-5567-11e8-96d0-dca9047ef277,1,1,2560,1920,train
59ac6cd1-23d2-11e8-a6a3-ec086b02610b,59ac6cd1-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,0,2011-05-31 11:54:00,700ae27d-5567-11e8-936f-dca9047ef277,1,1,2048,1536,train
59af9950-23d2-11e8-a6a3-ec086b02610b,59af9950-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,0,2011-05-28 11:28:00,700ade80-5567-11e8-8cee-dca9047ef277,1,1,2048,1536,train
59d8ee53-23d2-11e8-a6a3-ec086b02610b,59d8ee53-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,0,2012-10-22 16:46:41,700c6bf5-5567-11e8-b80c-dca9047ef277,1,1,2560,1920,train
59e43ed5-23d2-11e8-a6a3-ec086b02610b,59e43ed5-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,0,2011-07-02 07:22:00,700b01e3-5567-11e8-99e6-dca9047ef277,1,1,2048,1536,train
59f2c47d-23d2-11e8-a6a3-ec086b02610b,59f2c47d-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,0,2011-06-03 17:07:00,700ae628-5567-11e8-8106-dca9047ef277,1,1,2048,1536,train
59f79878-23d2-11e8-a6a3-ec086b02610b,59f79878-23d2-11e8-a6a3-ec086b02610b.jpg,11,bird,0,2011-05-12 15:27:00,700acf63-5567-11e8-af5c-dca9047ef277,1,1,2048,1536,train
5971f831-23d2-11e8-a6a3-ec086b02610b,5971f831-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2012-10-24 00:40:38,700c6cd4-5567-11e8-a998-dca9047ef277,1,1,2560,1920,train
597cd436-23d2-11e8-a6a3-ec086b02610b,597cd436-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-11-27 03:26:00,700b62d9-5567-11e8-bbc1-dca9047ef277,1,1,2048,1536,train
59817ca4-23d2-11e8-a6a3-ec086b02610b,59817ca4-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-08-19 05:07:00,700b15dc-5567-11e8-bb9d-dca9047ef277,1,1,2048,1536,train
5989428a-23d2-11e8-a6a3-ec086b02610b,5989428a-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-09-04 23:40:00,700b1f75-5567-11e8-9954-dca9047ef277,1,1,2048,1536,train
59be40da-23d2-11e8-a6a3-ec086b02610b,59be40da-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2012-03-21 04:14:00,700c0e91-5567-11e8-bc51-dca9047ef277,1,1,2048,1536,train
59c31a84-23d2-11e8-a6a3-ec086b02610b,59c31a84-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-09-20 03:26:00,700b255e-5567-11e8-8997-dca9047ef277,1,1,2048,1536,train
59c4bed7-23d2-11e8-a6a3-ec086b02610b,59c4bed7-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2012-03-31 01:14:00,700c17b5-5567-11e8-ab4f-dca9047ef277,1,1,2048,1536,train
59dc2560-23d2-11e8-a6a3-ec086b02610b,59dc2560-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-12-02 20:23:00,700b662b-5567-11e8-a89d-dca9047ef277,1,1,2048,1536,train
59e102f2-23d2-11e8-a6a3-ec086b02610b,59e102f2-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-11-19 05:06:00,700b5f23-5567-11e8-947e-dca9047ef277,1,1,2048,1536,train
59e43ea6-23d2-11e8-a6a3-ec086b02610b,59e43ea6-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-09-29 21:22:00,700b29a8-5567-11e8-9a2d-dca9047ef277,1,1,2048,1536,train
59e77ba2-23d2-11e8-a6a3-ec086b02610b,59e77ba2-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-10-31 02:06:00,700b3be8-5567-11e8-aa34-dca9047ef277,1,1,2048,1536,train
59eab832-23d2-11e8-a6a3-ec086b02610b,59eab832-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-09-09 01:19:00,700b21f8-5567-11e8-9a95-dca9047ef277,1,1,2048,1536,train
59f2c3ba-23d2-11e8-a6a3-ec086b02610b,59f2c3ba-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2013-01-11 00:18:23,700c8c78-5567-11e8-848d-dca9047ef277,1,1,2560,1920,train
59fc7ced-23d2-11e8-a6a3-ec086b02610b,59fc7ced-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-05-31 23:58:00,700ae3ee-5567-11e8-8cf5-dca9047ef277,1,1,2048,1536,train
59fe207b-23d2-11e8-a6a3-ec086b02610b,59fe207b-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-09-16 04:54:00,700b243a-5567-11e8-8976-dca9047ef277,1,1,2048,1536,train
59fe23e8-23d2-11e8-a6a3-ec086b02610b,59fe23e8-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-11-27 04:57:00,700b631e-5567-11e8-94f5-dca9047ef277,1,1,2048,1536,train
5a07cd57-23d2-11e8-a6a3-ec086b02610b,5a07cd57-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-08-29 03:10:00,700b1a6e-5567-11e8-b29f-dca9047ef277,1,1,2048,1536,train
5a0b037b-23d2-11e8-a6a3-ec086b02610b,5a0b037b-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-09-19 22:12:00,700b2517-5567-11e8-81e8-dca9047ef277,1,1,2048,1536,train
5a1e5312-23d2-11e8-a6a3-ec086b02610b,5a1e5312-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-07-23 00:20:00,700b0e47-5567-11e8-b15a-dca9047ef277,1,1,2048,1536,train
5a2c85a7-23d2-11e8-a6a3-ec086b02610b,5a2c85a7-23d2-11e8-a6a3-ec086b02610b.jpg,6,bobcat,0,2011-08-15 04:43:00,700b1351-5567-11e8-9697-dca9047ef277,1,1,2048,1536,train
596734f9-23d2-11e8-a6a3-ec086b02610b,596734f9-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2012-11-06 19:35:52,700c7882-5567-11e8-ab11-dca9047ef277,1,1,2560,1920,train
596a4c83-23d2-11e8-a6a3-ec086b02610b,596a4c83-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2011-05-25 03:53:00,700ada8f-5567-11e8-9876-dca9047ef277,1,1,2048,1536,train
596ef14c-23d2-11e8-a6a3-ec086b02610b,596ef14c-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2012-07-18 20:46:12,700c1cca-5567-11e8-9a11-dca9047ef277,1,1,2560,1920,train
597386d4-23d2-11e8-a6a3-ec086b02610b,597386d4-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2011-06-13 05:17:00,700aeee1-5567-11e8-a4e1-dca9047ef277,1,1,2048,1536,train
59782eff-23d2-11e8-a6a3-ec086b02610b,59782eff-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2011-12-27 07:52:00,700bb21c-5567-11e8-9ce0-dca9047ef277,1,1,2048,1536,train
5979bd4c-23d2-11e8-a6a3-ec086b02610b,5979bd4c-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2012-10-06 01:52:28,700c4df8-5567-11e8-95cb-dca9047ef277,1,1,2560,1920,train
59849517-23d2-11e8-a6a3-ec086b02610b,59849517-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2011-06-21 02:02:00,700af5d1-5567-11e8-bcc0-dca9047ef277,1,1,2048,1536,train
5987b2df-23d2-11e8-a6a3-ec086b02610b,5987b2df-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2011-11-07 18:58:00,700b4f82-5567-11e8-aa34-dca9047ef277,1,1,2048,1536,train
5995ae99-23d2-11e8-a6a3-ec086b02610b,5995ae99-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2011-05-06 23:23:00,700ac987-5567-11e8-ba64-dca9047ef277,1,1,2048,1536,train
599be832-23d2-11e8-a6a3-ec086b02610b,599be832-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2011-11-18 21:39:00,700b5e97-5567-11e8-9c23-dca9047ef277,1,1,2048,1536,train
599be962-23d2-11e8-a6a3-ec086b02610b,599be962-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2011-12-27 06:41:00,700bb135-5567-11e8-a338-dca9047ef277,1,1,2048,1536,train
59d27cd8-23d2-11e8-a6a3-ec086b02610b,59d27cd8-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2011-12-13 18:01:00,700b7d73-5567-11e8-a29f-dca9047ef277,1,1,2048,1536,train
59ef8c4a-23d2-11e8-a6a3-ec086b02610b,59ef8c4a-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2013-01-26 18:10:48,700c9717-5567-11e8-986e-dca9047ef277,1,1,2560,1920,train
59fae3cc-23d2-11e8-a6a3-ec086b02610b,59fae3cc-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2012-07-22 21:10:31,700c21ca-5567-11e8-8a61-dca9047ef277,1,1,2560,1920,train
5a21779f-23d2-11e8-a6a3-ec086b02610b,5a21779f-23d2-11e8-a6a3-ec086b02610b.jpg,9,coyote,0,2011-08-28 03:20:00,700b1991-5567-11e8-811f-dca9047ef277,1,1,2048,1536,train
5971fa4e-23d2-11e8-a6a3-ec086b02610b,5971fa4e-23d2-11e8-a6a3-ec086b02610b.jpg,30,empty,0,2012-10-19 12:47:24,700c5f63-5567-11e8-83da-dca9047ef277,1,1,2560,1920,train
59783215-23d2-11e8-a6a3-ec086b02610b,59783215-23d2-11e8-a6a3-ec086b02610b.jpg,30,empty,0,2012-10-19 12:59:47,700c669e-5567-11e8-a2a0-dca9047ef277,1,1,2560,1920,train
5978322f-23d2-11e8-a6a3-ec086b02610b,5978322f-23d2-11e8-a6a3-ec086b02610b.jpg,30,empty,0,2012-10-19 12:51:34,700c6391-5567-11e8-903a-dca9047ef277,1,1,2560,1920,train
